sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,brand_logo,cake_type,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,flowers_quantity,free_gift,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,note,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,teddy_size,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Cake,simple,,Default Category,base,,Eggless,Brown,,,2017-07-18 10:39:29,,,,,This Black forest cake from the mid night gifts has layers of rich chocolate cake; with whipped cream and delicious cherries. This yummy delightful cake is the best gift for the person who is fond of chocolate. This cake will add an extra charm on any special celebration be it birthday; wedding; anniversary or many more. Celebrate happy occasions of your life with this stunning and graceful cake which is not only good in look but also it tastes great.,,Yes,,,0,/b/l/black_forest_cake_with_chocolate_trees.jpg,,Yes,,,This Black forest cake from the mid night gifts has layers of rich chocolate cake; with whipped cream and delicious cherries. This yummy delightful cake is the best gift for the person who is fond of chocolate.,"the mid night gifts, cake delivery online, online cake delivery, jaipur, cakes, eggless cakes, designer cakes, online gifts, buy gifts online",Black Forest cake,,,Use config,Use config,Black Forest cake with chocolate trees,,,Note: “Actual product design may differ than shown in the image” ,Block after Info Column,,500,0,500gm Yummy Black Forest Cake with chocolates trees,/b/l/black_forest_cake_with_chocolate_trees.jpg,,2017-07-18 00:00:00,449,,1,0,,/b/l/black_forest_cake_with_chocolate_trees.jpg,,2017-07-19 07:00:15,black-forest-cake,black-forest-cake-88.html,4,500,12,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,/p/r/premium-black-forest_1_1.jpg,,1,0
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/b/l/black_forest_cake_with_chocolate_trees.jpg,,2,0
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Cake,simple,,Default Category,base,,Egg,Yellow,,,2017-07-18 12:16:37,,,,,"Covered in shards of dark chocolate, the Premium Black forest is a chocolate lover’s haven. Layered alternately with a moist cocoa sponge and fresh whipped cream, this cake is a guest at special celebrations. The contemporary yet classic cake dwells in a curtain of dark chocolate slivers thus setting it apart from the rest. Coated with Belgium chocolate, morello cherries and cooked with world’s best cocoa this is a luxurious upgrade from the regular black forest cake. If you are a chocolate connoisseur or aiming to be one, this cake is your best bet.  price including all govt taxes (central excise, vat & service tax) excluding delivery charge.",,Yes,,,0,/s/m/smiley_black_forest_cake.jpg,,Yes,,,,"the mid night gifts, cake delivery online, online cake delivery, jaipur, cakes, eggless cakes, designer cakes, online gifts, buy gifts online",,,,Use config,Use config,SMILEY Black Forest Cake,,,Note: “Actual product design may differ than shown in the image” ,Block after Info Column,,399,0,500gm SMILEY- Black Forest Cake for Children,/s/m/smiley_black_forest_cake.jpg,,2017-07-18 00:00:00,349,,1,0,,/s/m/smiley_black_forest_cake.jpg,,2017-07-19 07:07:51,black-forest-cake,black-forest-cake-89.html,4,500,12,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,/p/r/premium-black-forest_1_2.jpg,,1,0
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/y/u/yummy-cake-blackforest1.png,,2,0
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/s/m/smiley_black_forest_cake.jpg,,3,0
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
